describe,evaluate,introduce,movie_name,serial_number,star
爱上未来的你。 ,306671人评价,2006/日本/剧情爱情科幻动画,穿越时空的少女,215,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,630474人评价,2011/美国加拿大/科幻悬疑惊悚,源代码,216,8.5
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,387943人评价,1993/中国香港中国大陆/剧情爱情奇幻古装,青蛇,217,8.5
用剩余不多的时间，去燃烧整个生命。,287598人评价,2007/美国/冒险喜剧剧情,遗愿清单,218,8.6
昆汀同学越来越变态了，比北野武还杜琪峰。,366324人评价,2009/德国美国/剧情犯罪,无耻混蛋,219,8.6
人们可以登上月球，却永远无法探索人们内心的宇宙。,294404人评价,2017/中国台湾/剧情喜剧,大佛普拉斯,220,8.7
王家卫是一种风格，张国荣是一个代表。,376042人评价,1990/中国香港/犯罪剧情爱情,阿飞正传,221,8.5
每个美丽事物背后都是滴血的现实。,269411人评价,2006/美国德国/剧情惊悚冒险,血钻,222,8.7
来啊，互相伤害啊！,419740人评价,2016/意大利/剧情喜剧,完美陌生人,223,8.5
谁说王家卫镜头很晃？,272287人评价,2004/美国德国/动作悬疑惊悚,谍影重重2,224,8.7
“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,388188人评价,2015/澳大利亚南非/动作科幻冒险,疯狂的麦克斯4：狂暴之路,225,8.6
天使保护事件始末。,157943人评价,2007/印度/剧情儿童家庭,地球上的星星,226,8.9
一个单凭体香达到高潮的男人。,436319人评价,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,227,8.5
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,194585人评价,2008/日本/剧情家庭,步履不停,228,8.8
做一颗让别人需要你的棋子。,270995人评价,2005/美国法国/剧情犯罪,战争之王,229,8.7
小成本大魅力。,385396人评价,2013/美国英国/科幻悬疑惊悚,彗星来的那一夜,230,8.5
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,325252人评价,2002/美国德国捷克/动作悬疑惊悚,谍影重重,231,8.6
,433971人评价,2018/英国美国/剧情传记同性音乐,波西米亚狂想曲,232,8.7
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,379575人评价,2008/美国德国/剧情爱情,朗读者,233,8.6
不可猜的青春迷笛。 ,347095人评价,1996/英国/剧情犯罪,猜火车,234,8.5
世界离独裁只有五天。,211355人评价,2008/德国/剧情惊悚,浪潮,235,8.7
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,97243人评价,1953/日本/剧情家庭,东京物语,236,9.2
爱我就给我看你的播放列表。,320473人评价,2013/美国/喜剧爱情音乐,再次出发之纽约遇见你,237,8.6
新闻人的理性求真。,217714人评价,2015/美国/剧情传记,聚焦,238,8.8
过去的如果就让它过去了，未来只会越来越糟！,697705人评价,2016/中国大陆/剧情喜剧,驴得水,239,8.3
宝莱坞的萝莉与大叔。,376548人评价,2015/印度/剧情喜剧动作,小萝莉的猴神大叔,240,8.4
